subjectsID,actual_foodupa_sum,kcal_hr_sum,kcal_mean_mean,actual_allmeters_mean,bodymass_mean,rq_mean,actual_pedmeters_mean,vco2_mean,vo2_mean,locomotion_mean,actual_waterupa_sum
1.0,40.217259999999975,450.1649378,0.42428363600377006,2.125755325164939,29.76625901979265,0.9631445970782281,1.6037452403393024,1.3685329463713478,1.41025032667295,289.35155513666353,21.84857799999998
4.0,37.31468999999998,471.1392146,0.44405204015080113,1.2360614514608859,30.094303468426013,0.9218831303487276,0.7966315739868048,1.3779980875589066,1.491195499622997,175.06786050895383,25.730161999999982
7.0,38.03834999999997,388.6749193,0.3663288589066918,1.5531804901036759,28.550030471253535,0.9388281658812441,1.014430631479736,1.1620139962299718,1.2231142991517436,226.05466540999058,13.699192999999982
10.0,42.37600999999997,447.7636858,0.4220204390197927,1.8853853911404335,25.136652450518376,0.8941188634307257,1.39858972667295,1.281498311592837,1.4251045201696513,238.91517436380772,27.683738999999974
13.0,41.527879999999975,446.2000557,0.4205467065975495,1.1950606032045241,29.563109293119698,0.9164841113100848,0.8267347785108388,1.2943992480678606,1.4152515097078229,178.54382657869934,23.209762999999974
3.0,39.927219999999984,437.1283158,0.41199652761545713,1.43474410933082,29.633972535344014,0.9351968419415645,1.0090834118755891,1.2961006660697454,1.378614920923657,169.2186616399623,26.55870499999998
5.0,32.17458999999999,168.74305055297,0.15904151795755891,0.8560327992459943,23.386905466541002,0.7810343122884071,0.631523656927427,0.5025296412808671,0.5315641159847125,82.63430725730443,20.04955599999998
9.0,32.84657999999999,426.4684684,0.4019495460885957,1.3192184731385483,27.350496399622998,0.8940949529688973,0.9227561734213007,1.2286082748350613,1.355066827332705,178.11310084825635,16.481693999999987
12.0,79.48046999999998,411.7466659,0.38807414316682376,1.543146559849199,25.862909754948163,0.9051974131950989,1.1142568331762488,1.1732165060320452,1.3119322199811498,193.0603204524034,32.166359999999976
16.0,42.039349999999985,419.8693848,0.3957298631479736,1.5372395852968899,27.638180367577757,0.8486695688595665,1.0464271442035815,1.2034470522148915,1.3358247397737983,222.444863336475,28.500960999999986
2.0,28.577899999999985,406.1202825,0.3827712370405278,1.379899340245052,26.542394090480677,0.9084721543826578,1.0258836946277097,1.1798477645617342,1.2876450152686145,165.95758718190388,26.872266999999976
6.0,31.320049999999984,378.6315127,0.3568628771913289,1.3521259189443922,24.720205862393968,0.9614248460885957,0.972253534401508,1.1454089076343072,1.187742307068803,185.5570216776626,15.107808999999984
8.0,34.60147999999998,390.01632490000003,0.3675931431668238,1.7720765315739868,22.65277549481621,0.9382381121583412,1.4894892554194157,1.1587926982092367,1.2293650548539112,165.8718190386428,18.262067999999978
11.0,57.72842999999998,362.8327467,0.34197242855796417,2.067880395852969,20.711033402450518,0.8838347113100848,1.7746114043355325,1.0306449802073516,1.1569771877474082,197.4712535344015,15.935319999999974
14.0,32.72208999999999,428.0156114,0.40340773930254475,1.9546386427898208,26.02380822808671,0.8926831713477851,1.5591045240339303,1.2128694111215834,1.365650533176249,199.315739868049,21.47846699999998
15.0,27.580959999999983,408.9317077,0.38542102516493876,1.8013539114043353,25.753337832233743,0.8756017882375118,1.3557992459943449,1.1506224948444863,1.307052843732328,203.6201696512724,19.95066299999998
